Journal_Id,2017,2018,2019,2020,2021,All_Years
25,0.0,0.0,0.0,0.0,0.0,False
42,0.0,0.0,0.0,0.0,0.0,False
76,0.0,0.0,0.0,0.0,0.0,False
196,0.0,0.0,0.0,0.0,0.0,False
199,0.0,0.0,0.0,0.0,0.0,False
214,0.0,0.0,1.0,0.0,0.0,True
241,0.0,0.0,0.0,0.0,0.0,False
246,0.0,0.0,0.0,0.0,0.0,False
248,0.0,0.0,0.0,0.0,0.0,False
266,0.0,0.0,0.0,0.0,0.0,False
276,0.0,0.0,0.0,0.0,0.0,False
283,0.0,0.0,0.0,0.0,0.0,False
302,0.0,0.0,0.0,0.0,0.0,False
305,0.0,0.0,0.0,0.0,0.0,False
346,0.0,0.0,0.0,0.0,0.0,False
355,0.0,0.0,0.0,0.0,0.0,False
383,0.0,0.0,0.0,0.0,0.0,False
434,0.0,0.0,0.0,0.0,0.0,False
439,0.0,0.0,0.0,0.0,0.0,False
451,0.0,0.0,0.0,0.0,0.0,False
475,0.0,0.0,0.0,0.0,0.0,False
494,0.0,0.0,0.0,0.0,0.0,False
529,0.0,0.0,0.0,0.0,0.0,False
532,0.0,0.0,0.0,0.0,0.0,False
533,0.0,0.0,0.0,0.0,0.0,False
538,0.0,0.0,0.0,0.0,0.0,False
560,0.0,0.0,0.0,0.0,0.0,False
654,0.0,0.0,0.0,0.0,0.0,False
665,0.0,0.0,0.0,0.0,0.0,False
666,0.0,0.0,0.0,0.0,0.0,False
672,0.0,0.0,0.0,0.0,0.0,False
693,0.0,0.0,0.0,0.0,0.0,False
777,0.0,0.0,0.0,0.0,0.0,False
784,0.0,0.0,1.0,0.0,0.0,True
787,0.0,0.0,0.0,0.0,0.0,False
822,0.0,0.0,0.0,0.0,0.0,False
834,0.0,0.0,0.0,0.0,0.0,False
838,0.0,0.0,0.0,0.0,0.0,False
849,0.0,0.0,0.0,0.0,0.0,False
854,0.0,0.0,0.0,0.0,0.0,False
877,0.0,0.0,0.0,0.0,0.0,False
923,0.0,0.0,0.0,0.0,0.0,False
925,0.0,0.0,0.0,0.0,0.0,False
927,0.0,0.0,0.0,0.0,0.0,False
929,0.0,0.0,0.0,0.0,0.0,False
937,0.0,0.0,0.0,0.0,0.0,False
970,0.0,0.0,0.0,0.0,0.0,False
1039,1.0,1.0,1.0,1.0,0.0,True
1043,0.0,0.0,0.0,0.0,0.0,False
1045,0.0,0.0,0.0,0.0,0.0,False
1179,0.0,0.0,0.0,0.0,0.0,False
1182,0.0,0.0,0.0,0.0,0.0,False
1212,0.0,0.0,0.0,0.0,0.0,False
1222,0.0,0.0,0.0,0.0,0.0,False
1223,0.0,0.0,0.0,0.0,0.0,False
1226,0.0,0.0,0.0,0.0,0.0,False
1246,0.0,0.0,0.0,0.0,0.0,False
1251,0.0,0.0,0.0,0.0,0.0,False
1262,0.0,0.0,0.0,0.0,0.0,False
1279,0.0,0.0,0.0,0.0,0.0,False
1293,0.0,0.0,0.0,0.0,0.0,False
1370,0.0,0.0,0.0,0.0,0.0,False
1373,0.0,0.0,0.0,0.0,0.0,False
1405,0.0,0.0,0.0,0.0,0.0,False
1420,0.0,0.0,0.0,0.0,0.0,False
1421,0.0,0.0,0.0,0.0,0.0,False
1430,0.0,0.0,0.0,0.0,0.0,False
1434,0.0,0.0,0.0,0.0,0.0,False
