Journal_Id,2017,2018,2019,2020,2021,All_Years
43,0.0,0.0,0.0,0.0,0.0,False
52,0.0,0.0,0.0,0.0,0.0,False
53,0.0,1.0,0.0,1.0,1.0,True
54,0.0,0.0,0.0,0.0,0.0,False
65,1.0,1.0,0.0,0.0,0.0,True
73,0.0,0.0,0.0,0.0,0.0,False
74,1.0,1.0,1.0,1.0,0.0,True
204,1.0,1.0,1.0,0.0,0.0,True
211,1.0,1.0,1.0,1.0,0.0,True
242,0.0,0.0,0.0,0.0,0.0,False
250,0.0,0.0,0.0,0.0,0.0,False
259,1.0,1.0,1.0,1.0,0.0,True
275,0.0,1.0,1.0,1.0,0.0,True
279,0.0,0.0,0.0,0.0,0.0,False
286,0.0,0.0,0.0,0.0,0.0,False
294,0.0,0.0,0.0,0.0,0.0,False
295,0.0,0.0,0.0,0.0,0.0,False
297,0.0,0.0,0.0,0.0,0.0,False
312,1.0,1.0,1.0,1.0,0.0,True
327,0.0,0.0,0.0,0.0,0.0,False
354,0.0,0.0,0.0,0.0,0.0,False
366,1.0,1.0,1.0,1.0,1.0,True
384,1.0,1.0,1.0,1.0,0.0,True
395,0.0,0.0,0.0,0.0,0.0,False
408,0.0,0.0,0.0,0.0,0.0,False
411,1.0,1.0,1.0,1.0,0.0,True
416,0.0,0.0,0.0,0.0,0.0,False
417,1.0,1.0,1.0,1.0,1.0,True
427,0.0,0.0,1.0,1.0,0.0,True
429,0.0,0.0,0.0,0.0,0.0,False
448,0.0,0.0,0.0,0.0,0.0,False
456,0.0,0.0,0.0,0.0,0.0,False
460,1.0,1.0,1.0,1.0,0.0,True
461,0.0,0.0,0.0,0.0,0.0,False
464,1.0,1.0,0.0,0.0,0.0,True
476,1.0,1.0,0.0,0.0,0.0,True
482,1.0,1.0,1.0,1.0,0.0,True
489,1.0,1.0,1.0,1.0,0.0,True
495,1.0,1.0,1.0,0.0,1.0,True
504,0.0,0.0,0.0,0.0,0.0,False
508,0.0,0.0,0.0,0.0,0.0,False
521,1.0,1.0,0.0,0.0,0.0,True
526,1.0,1.0,1.0,1.0,0.0,True
536,0.0,0.0,0.0,0.0,0.0,False
546,0.0,0.0,0.0,0.0,0.0,False
545,1.0,1.0,1.0,1.0,1.0,True
547,0.0,0.0,0.0,0.0,0.0,False
549,0.0,0.0,0.0,0.0,0.0,False
550,0.0,0.0,0.0,0.0,0.0,False
553,0.0,0.0,0.0,0.0,0.0,False
566,0.0,0.0,0.0,0.0,0.0,False
571,0.0,0.0,0.0,0.0,0.0,False
584,0.0,1.0,1.0,1.0,1.0,True
597,0.0,0.0,0.0,0.0,0.0,False
599,0.0,0.0,0.0,0.0,0.0,False
600,0.0,0.0,0.0,0.0,0.0,False
605,0.0,0.0,0.0,0.0,0.0,False
618,0.0,0.0,0.0,0.0,0.0,False
619,0.0,1.0,1.0,1.0,0.0,True
637,0.0,0.0,0.0,0.0,0.0,False
643,0.0,0.0,0.0,0.0,0.0,False
645,0.0,0.0,0.0,0.0,0.0,False
646,0.0,0.0,0.0,0.0,0.0,False
649,1.0,1.0,0.0,1.0,0.0,True
660,1.0,1.0,1.0,1.0,0.0,True
667,0.0,0.0,0.0,0.0,0.0,False
670,1.0,0.0,1.0,1.0,0.0,True
676,1.0,1.0,1.0,1.0,1.0,True
789,0.0,1.0,1.0,1.0,0.0,True
793,1.0,1.0,1.0,1.0,0.0,True
806,0.0,0.0,0.0,0.0,0.0,False
807,0.0,0.0,0.0,0.0,0.0,False
814,0.0,0.0,0.0,0.0,1.0,True
815,1.0,1.0,1.0,1.0,0.0,True
821,0.0,0.0,0.0,0.0,0.0,False
824,0.0,0.0,0.0,0.0,0.0,False
825,1.0,1.0,1.0,0.0,1.0,True
826,0.0,0.0,0.0,0.0,0.0,False
827,1.0,1.0,1.0,1.0,0.0,True
833,0.0,0.0,0.0,0.0,0.0,False
835,0.0,1.0,1.0,1.0,1.0,True
837,0.0,0.0,0.0,0.0,0.0,False
873,0.0,0.0,0.0,0.0,0.0,False
876,1.0,1.0,1.0,1.0,0.0,True
880,0.0,0.0,0.0,0.0,0.0,False
911,1.0,0.0,1.0,1.0,0.0,True
938,0.0,0.0,0.0,0.0,0.0,False
967,1.0,1.0,1.0,1.0,0.0,True
978,0.0,0.0,0.0,0.0,0.0,False
979,0.0,0.0,0.0,0.0,0.0,False
1004,1.0,1.0,1.0,1.0,0.0,True
